instance_name,track_name,num_nodes,num_edges,num_terminals,graph_density,heuristic_execution_time_ms,heuristic_cut_size,heuristic_valid,heuristic_timed_out,parallel_heuristic_execution_time_ms,parallel_heuristic_cut_size,parallel_heuristic_valid,parallel_heuristic_timed_out,approximation_execution_time_ms,approximation_cut_size,approximation_valid,approximation_timed_out,exact_execution_time_ms,exact_best_time,exact_cut_size,exact_valid,exact_timed_out,heuristic_exact_ratio,parallel_heuristic_exact_ratio,approximation_exact_ratio,cut_to_node_heuristic_ratio,cut_to_node_parallel_heuristic_ratio,cut_to_node_approximation_ratio,cut_to_node_exact_ratio
grid_10x10_k3_rep0,Grid,100,180,3,0.036364,0.514606,4,1,0,22.501396,4,1,0,22.427338,4,1,0,46.151808,45.705911,4,1,0,1.000000,1.000000,1.000000,0.040000,0.040000,0.040000,0.040000
grid_10x10_k3_rep1,Grid,100,180,3,0.036364,0.313659,7,1,0,11.396345,7,1,0,16.566332,7,1,0,21.537237,6.360546,6,1,0,1.166667,1.166667,1.166667,0.070000,0.070000,0.070000,0.060000
grid_10x10_k3_rep2,Grid,100,180,3,0.036364,0.188480,6,1,0,12.899804,6,1,0,21.247408,6,1,0,5.801426,3.287788,6,1,0,1.000000,1.000000,1.000000,0.060000,0.060000,0.060000,0.060000
grid_10x10_k3_rep3,Grid,100,180,3,0.036364,0.427679,6,1,0,9.112786,6,1,0,20.935174,6,1,0,119.640677,114.437570,6,1,0,1.000000,1.000000,1.000000,0.060000,0.060000,0.060000,0.060000
grid_10x10_k3_rep4,Grid,100,180,3,0.036364,0.386712,8,1,0,24.277953,8,1,0,21.120807,8,1,0,351.718510,75.850773,8,1,0,1.000000,1.000000,1.000000,0.080000,0.080000,0.080000,0.080000
grid_10x10_k5_rep0,Grid,100,180,5,0.036364,0.520939,12,1,0,16.308034,12,1,0,76.678635,12,1,0,31521.403183,52.120516,12,1,0,1.000000,1.000000,1.000000,0.120000,0.120000,0.120000,0.120000
grid_10x10_k5_rep1,Grid,100,180,5,0.036364,1.074634,14,1,0,43.863372,14,1,0,70.200035,14,1,0,120000.508238,11.478031,14,1,1,1.000000,1.000000,1.000000,0.140000,0.140000,0.140000,0.140000
grid_10x10_k5_rep2,Grid,100,180,5,0.036364,0.912553,10,1,0,29.380322,10,1,0,82.309066,10,1,0,106.604008,7.791542,10,1,0,1.000000,1.000000,1.000000,0.100000,0.100000,0.100000,0.100000
grid_10x10_k5_rep3,Grid,100,180,5,0.036364,0.788336,12,1,0,12.140957,12,1,0,85.057102,12,1,0,161.476678,7.351602,12,1,0,1.000000,1.000000,1.000000,0.120000,0.120000,0.120000,0.120000
grid_10x10_k5_rep4,Grid,100,180,5,0.036364,0.307081,12,1,0,15.462497,12,1,0,98.583139,12,1,0,500.746359,42.807438,12,1,0,1.000000,1.000000,1.000000,0.120000,0.120000,0.120000,0.120000
grid_10x10_k10_rep0,Grid,100,180,10,0.036364,0.901864,21,1,0,17.594782,21,1,0,481.835980,21,1,0,3413.892586,128.612238,20,1,0,1.050000,1.050000,1.050000,0.210000,0.210000,0.210000,0.200000
grid_10x10_k10_rep1,Grid,100,180,10,0.036364,0.990298,31,1,0,21.642724,31,1,0,376.478926,30,1,0,120000.308339,51.575060,25,1,1,1.240000,1.240000,1.200000,0.310000,0.310000,0.300000,0.250000
grid_10x10_k10_rep2,Grid,100,180,10,0.036364,0.884998,28,1,0,26.226340,28,1,0,356.970739,28,1,0,120001.530015,52085.721707,24,1,1,1.166667,1.166667,1.166667,0.280000,0.280000,0.280000,0.240000
grid_10x10_k10_rep3,Grid,100,180,10,0.036364,1.673982,33,1,0,46.558375,33,1,0,559.375860,33,1,0,120000.391861,23132.492333,25,1,1,1.320000,1.320000,1.320000,0.330000,0.330000,0.330000,0.250000
grid_10x10_k10_rep4,Grid,100,180,10,0.036364,1.136902,27,1,0,20.297884,27,1,0,453.662777,25,1,0,120000.354675,54509.974459,22,1,1,1.227273,1.227273,1.136364,0.270000,0.270000,0.250000,0.220000
grid_10x10_k20_rep0,Grid,100,180,20,0.036364,2.137170,53,1,0,15.100297,53,1,0,2124.435184,48,1,0,86884.004914,50917.134318,37,1,0,1.432432,1.432432,1.297297,0.530000,0.530000,0.480000,0.370000
grid_10x10_k20_rep1,Grid,100,180,20,0.036364,2.097527,51,1,0,20.484878,51,1,0,995.585677,47,1,0,3796.976508,1802.176225,36,1,0,1.416667,1.416667,1.305556,0.510000,0.510000,0.470000,0.360000
grid_10x10_k20_rep2,Grid,100,180,20,0.036364,1.871559,49,1,0,22.459276,49,1,0,1221.985651,47,1,0,14804.845584,347.436180,35,1,0,1.400000,1.400000,1.342857,0.490000,0.490000,0.470000,0.350000
grid_10x10_k20_rep3,Grid,100,180,20,0.036364,2.201840,50,1,0,32.667871,50,1,0,1216.445528,46,1,0,120000.641331,823.086517,37,1,1,1.351351,1.351351,1.243243,0.500000,0.500000,0.460000,0.370000
grid_10x10_k20_rep4,Grid,100,180,20,0.036364,3.182007,49,1,0,15.753874,49,1,0,1179.172780,47,1,0,120000.349513,3564.744061,39,1,1,1.256410,1.256410,1.205128,0.490000,0.490000,0.470000,0.390000
