instance_name,track_name,num_nodes,num_edges,num_terminals,graph_density,heuristic_execution_time_ms,heuristic_cut_size,heuristic_valid,heuristic_timed_out,parallel_heuristic_execution_time_ms,parallel_heuristic_cut_size,parallel_heuristic_valid,parallel_heuristic_timed_out,approximation_execution_time_ms,approximation_cut_size,approximation_valid,approximation_timed_out,exact_execution_time_ms,exact_best_time,exact_cut_size,exact_valid,exact_timed_out,heuristic_exact_ratio,parallel_heuristic_exact_ratio,approximation_exact_ratio,cut_to_node_heuristic_ratio,cut_to_node_parallel_heuristic_ratio,cut_to_node_approximation_ratio,cut_to_node_exact_ratio
grid_5x5_k3_rep0,Grid,25,40,3,0.133333,0.196011,7,1,0,22.397131,7,1,0,12.216021,5,1,0,1.051852,1.037429,5,1,0,1.400000,1.400000,1.000000,0.280000,0.280000,0.200000,0.200000
grid_5x5_k3_rep1,Grid,25,40,3,0.133333,0.148229,6,1,0,9.431046,6,1,0,4.537878,6,1,0,6.815859,6.615500,5,1,0,1.200000,1.200000,1.200000,0.240000,0.240000,0.240000,0.200000
grid_5x5_k3_rep2,Grid,25,40,3,0.133333,0.226459,5,1,0,13.206112,5,1,0,1.848059,5,1,0,2.674983,2.479304,5,1,0,1.000000,1.000000,1.000000,0.200000,0.200000,0.200000,0.200000
grid_5x5_k3_rep3,Grid,25,40,3,0.133333,0.185842,6,1,0,4.058924,6,1,0,2.242574,6,1,0,10.443636,10.242226,6,1,0,1.000000,1.000000,1.000000,0.240000,0.240000,0.240000,0.240000
grid_5x5_k3_rep4,Grid,25,40,3,0.133333,0.205161,6,1,0,5.555264,6,1,0,2.495803,5,1,0,6.386343,6.090595,5,1,0,1.200000,1.200000,1.000000,0.240000,0.240000,0.200000,0.200000
grid_5x5_k4_rep0,Grid,25,40,4,0.133333,0.444909,7,1,0,4.207518,7,1,0,6.637027,6,1,0,1.542855,1.526137,6,1,0,1.166667,1.166667,1.000000,0.280000,0.280000,0.240000,0.240000
grid_5x5_k4_rep1,Grid,25,40,4,0.133333,0.395283,8,1,0,3.170216,8,1,0,5.305656,8,1,0,3.072229,3.054855,7,1,0,1.142857,1.142857,1.142857,0.320000,0.320000,0.320000,0.280000
grid_5x5_k4_rep2,Grid,25,40,4,0.133333,0.292134,9,1,0,4.874382,9,1,0,4.719562,8,1,0,5.697931,5.672537,8,1,0,1.125000,1.125000,1.000000,0.360000,0.360000,0.320000,0.320000
grid_5x5_k4_rep3,Grid,25,40,4,0.133333,0.272773,8,1,0,8.736133,8,1,0,4.598763,7,1,0,5.666789,5.646998,7,1,0,1.142857,1.142857,1.000000,0.320000,0.320000,0.280000,0.280000
grid_5x5_k4_rep4,Grid,25,40,4,0.133333,0.371063,8,1,0,3.720502,8,1,0,5.186711,8,1,0,4.703681,4.685326,7,1,0,1.142857,1.142857,1.142857,0.320000,0.320000,0.320000,0.280000
