instance_name,track_name,num_nodes,num_edges,num_terminals,graph_density,heuristic_execution_time_ms,heuristic_cut_size,heuristic_valid,heuristic_timed_out,parallel_heuristic_execution_time_ms,parallel_heuristic_cut_size,parallel_heuristic_valid,parallel_heuristic_timed_out,approximation_execution_time_ms,approximation_cut_size,approximation_valid,approximation_timed_out,exact_execution_time_ms,exact_best_time,exact_cut_size,exact_valid,exact_timed_out,heuristic_exact_ratio,parallel_heuristic_exact_ratio,approximation_exact_ratio,cut_to_node_heuristic_ratio,cut_to_node_parallel_heuristic_ratio,cut_to_node_approximation_ratio,cut_to_node_exact_ratio
grid_10x10_k3_rep0,Grid,100,180,3,0.036364,0.671336,4,1,0,23.983950,4,1,0,15.454425,4,1,0,55.168150,55.127964,4,1,0,1.000000,1.000000,1.000000,0.040000,0.040000,0.040000,0.040000
grid_10x10_k3_rep1,Grid,100,180,3,0.036364,0.351994,7,1,0,14.888367,7,1,0,16.680156,7,1,0,9.077980,8.633772,6,1,0,1.166667,1.166667,1.166667,0.070000,0.070000,0.070000,0.060000
grid_10x10_k3_rep2,Grid,100,180,3,0.036364,0.328088,6,1,0,13.641867,6,1,0,18.667415,6,1,0,4.342088,4.315839,6,1,0,1.000000,1.000000,1.000000,0.060000,0.060000,0.060000,0.060000
grid_10x10_k3_rep3,Grid,100,180,3,0.036364,0.352574,6,1,0,14.799689,6,1,0,18.325169,6,1,0,123.321006,122.856169,6,1,0,1.000000,1.000000,1.000000,0.060000,0.060000,0.060000,0.060000
grid_10x10_k3_rep4,Grid,100,180,3,0.036364,0.386048,8,1,0,14.119297,8,1,0,20.589959,8,1,0,84.996853,84.540902,8,1,0,1.000000,1.000000,1.000000,0.080000,0.080000,0.080000,0.080000
grid_10x10_k5_rep0,Grid,100,180,5,0.036364,0.546360,12,1,0,14.912202,12,1,0,61.235142,12,1,0,60.685103,60.645788,12,1,0,1.000000,1.000000,1.000000,0.120000,0.120000,0.120000,0.120000
grid_10x10_k5_rep1,Grid,100,180,5,0.036364,0.564094,14,1,0,14.980713,14,1,0,53.708526,14,1,0,14.099709,13.647898,14,1,0,1.000000,1.000000,1.000000,0.140000,0.140000,0.140000,0.140000
grid_10x10_k5_rep2,Grid,100,180,5,0.036364,0.524018,10,1,0,14.486079,10,1,0,61.317216,10,1,0,8.590760,8.553070,10,1,0,1.000000,1.000000,1.000000,0.100000,0.100000,0.100000,0.100000
grid_10x10_k5_rep3,Grid,100,180,5,0.036364,0.519019,12,1,0,14.811642,12,1,0,73.476346,12,1,0,8.390143,8.361178,12,1,0,1.000000,1.000000,1.000000,0.120000,0.120000,0.120000,0.120000
grid_10x10_k5_rep4,Grid,100,180,5,0.036364,0.510633,12,1,0,14.736681,12,1,0,71.915152,12,1,0,36.539397,36.510453,12,1,0,1.000000,1.000000,1.000000,0.120000,0.120000,0.120000,0.120000
grid_10x10_k10_rep0,Grid,100,180,10,0.036364,0.947968,21,1,0,14.972235,21,1,0,354.910662,21,1,0,48.954171,48.936408,21,1,0,1.000000,1.000000,1.000000,0.210000,0.210000,0.210000,0.210000
grid_10x10_k10_rep1,Grid,100,180,10,0.036364,0.970089,31,1,0,15.181119,31,1,0,321.959390,30,1,0,53.319064,53.297923,25,1,0,1.240000,1.240000,1.200000,0.310000,0.310000,0.300000,0.250000
grid_10x10_k10_rep2,Grid,100,180,10,0.036364,0.966983,28,1,0,15.108913,28,1,0,264.447470,28,1,0,56.318119,56.287311,26,1,0,1.076923,1.076923,1.076923,0.280000,0.280000,0.280000,0.260000
grid_10x10_k10_rep3,Grid,100,180,10,0.036364,0.980269,33,1,0,14.156156,33,1,0,275.717174,33,1,0,45.829639,45.806195,27,1,0,1.222222,1.222222,1.222222,0.330000,0.330000,0.330000,0.270000
grid_10x10_k10_rep4,Grid,100,180,10,0.036364,0.961794,27,1,0,15.520960,27,1,0,346.003054,25,1,0,50.987746,50.961347,24,1,0,1.125000,1.125000,1.041667,0.270000,0.270000,0.250000,0.240000
grid_10x10_k20_rep0,Grid,100,180,20,0.036364,1.826995,53,1,0,15.291437,53,1,0,1045.228344,48,1,0,30.959224,30.940680,38,1,0,1.394737,1.394737,1.263158,0.530000,0.530000,0.480000,0.380000
grid_10x10_k20_rep1,Grid,100,180,20,0.036364,1.844920,51,1,0,15.195917,51,1,0,753.468204,47,1,0,24.644437,24.625882,37,1,0,1.378378,1.378378,1.270270,0.510000,0.510000,0.470000,0.370000
grid_10x10_k20_rep2,Grid,100,180,20,0.036364,1.868264,49,1,0,20.689938,49,1,0,812.607493,47,1,0,33.079683,33.061088,36,1,0,1.361111,1.361111,1.305556,0.490000,0.490000,0.470000,0.360000
grid_10x10_k20_rep3,Grid,100,180,20,0.036364,1.847625,50,1,0,15.250330,50,1,0,921.748569,46,1,0,32.823690,32.804364,38,1,0,1.315789,1.315789,1.210526,0.500000,0.500000,0.460000,0.380000
