instance_name,track_name,num_nodes,num_edges,num_terminals,graph_density,heuristic_execution_time_ms,heuristic_cut_size,heuristic_valid,heuristic_timed_out,parallel_heuristic_execution_time_ms,parallel_heuristic_cut_size,parallel_heuristic_valid,parallel_heuristic_timed_out,approximation_execution_time_ms,approximation_cut_size,approximation_valid,approximation_timed_out,exact_execution_time_ms,exact_best_time,exact_cut_size,exact_valid,exact_timed_out,heuristic_exact_ratio,parallel_heuristic_exact_ratio,approximation_exact_ratio,cut_to_node_heuristic_ratio,cut_to_node_parallel_heuristic_ratio,cut_to_node_approximation_ratio,cut_to_node_exact_ratio
instance001.gr,Track2,74,146,25,0.054054,0.011120,-1,0,0,0.008746,-1,0,0,0.009167,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance002.gr,Track2,133,169,70,0.019253,0.003557,-1,0,0,0.002956,-1,0,0,0.003106,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance003.gr,Track2,87,176,30,0.047046,0.009137,-1,0,0,0.008967,-1,0,0,0.009338,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance004.gr,Track2,109,202,50,0.034319,0.009668,-1,0,0,0.009649,-1,0,0,0.009638,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance005.gr,Track2,201,253,100,0.012587,0.004058,-1,0,0,0.003927,-1,0,0,0.004058,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance006.gr,Track2,232,256,198,0.009554,0.003627,-1,0,0,0.002475,-1,0,0,0.002625,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance007.gr,Track2,216,288,100,0.012403,0.002806,-1,0,0,0.002465,-1,0,0,0.002705,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance008.gr,Track2,226,306,100,0.012035,0.003046,-1,0,0,0.001262,-1,0,0,0.001473,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance009.gr,Track2,229,312,100,0.011951,0.001412,-1,0,0,0.001222,-1,0,0,0.001383,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance010.gr,Track2,230,313,100,0.011885,0.002164,-1,0,0,0.001964,-1,0,0,0.002134,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
