instance_name,track_name,num_nodes,num_edges,num_terminals,graph_density,heuristic_execution_time_ms,heuristic_cut_size,heuristic_valid,heuristic_timed_out,parallel_heuristic_execution_time_ms,parallel_heuristic_cut_size,parallel_heuristic_valid,parallel_heuristic_timed_out,approximation_execution_time_ms,approximation_cut_size,approximation_valid,approximation_timed_out,exact_execution_time_ms,exact_best_time,exact_cut_size,exact_valid,exact_timed_out,heuristic_exact_ratio,parallel_heuristic_exact_ratio,approximation_exact_ratio,cut_to_node_heuristic_ratio,cut_to_node_parallel_heuristic_ratio,cut_to_node_approximation_ratio,cut_to_node_exact_ratio
instance001.gr,Track1,53,80,4,0.058055,1.054081,6,1,0,25.793944,6,1,0,28.500007,5,1,0,31.163480,21.972904,5,1,0,1.200000,1.200000,1.000000,0.113208,0.113208,0.094340,0.094340
instance002.gr,Track1,2500,3125,5,0.001000,36.164043,7,1,0,31.656629,7,1,0,90043.748141,-1,0,1,54166.582296,52384.228533,7,1,0,1.000000,1.000000,-1.000000,0.002800,0.002800,-1.000000,0.002800
instance001.gr,Track1,53,80,4,0.058055,0.924059,6,1,0,29.866192,6,1,0,20.453119,5,1,0,32.940246,20.985833,5,1,0,1.200000,1.200000,1.000000,0.113208,0.113208,0.094340,0.094340
instance002.gr,Track1,2500,3125,5,0.001000,33.251282,7,1,0,42.260733,7,1,0,90043.550397,-1,0,1,53498.670354,51896.907604,7,1,0,1.000000,1.000000,-1.000000,0.002800,0.002800,-1.000000,0.002800
instance003.gr,Track1,2500,5000,5,0.001601,71.048806,12,1,0,49.740139,12,1,0,90057.076238,-1,0,1,90003.045217,60718.597466,12,1,1,1.000000,1.000000,-1.000000,0.004800,0.004800,-1.000000,0.004800
instance004.gr,Track1,2500,12500,5,0.004002,265.147533,35,1,0,142.264899,35,1,0,90317.168645,-1,0,1,90034.135712,52391.860716,35,1,1,1.000000,1.000000,-1.000000,0.014000,0.014000,-1.000000,0.014000
instance005.gr,Track1,2500,62500,5,0.020008,14465.081420,192,1,0,16392.024778,192,1,0,92536.440722,-1,0,1,90805.933136,90805.933136,-1,0,1,-1.000000,-1.000000,-1.000000,0.076800,0.076800,-1.000000,-1.000000
instance006.gr,Track1,55,82,6,0.055219,16.725304,-1,0,0,14.950483,-1,0,0,7.448454,-1,0,0,-1.000000,-1.000000,-1,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
instance007.gr,Track1,157,266,6,0.021721,70.696063,16,1,0,68.625298,16,1,0,4655.561899,10,1,0,14025.885455,218.268868,10,1,0,1.600000,1.600000,1.000000,0.101911,0.101911,0.063694,0.063694
instance008.gr,Track1,307,526,6,0.011198,10.410765,10,1,0,26.058070,10,1,0,17100.579790,10,1,0,76077.786313,166.198420,10,1,0,1.000000,1.000000,1.000000,0.032573,0.032573,0.032573,0.032573
